cell_line,BvL_group,subtype_detail,plexes,column_ids,n_plexes
BT20,Basal,TNA,TenPx24,BT20_BREAST_TenPx24,1
HCC1143,Basal,TNA,TenPx16,HCC1143_BREAST_TenPx16,1
HCC1187,Basal,TNA,TenPx20,HCC1187_BREAST_TenPx20,1
HCC1395,Basal,TNA,TenPx15,HCC1395_BREAST_TenPx15,1
HCC1806,Basal,TNA,TenPx14,HCC1806_BREAST_TenPx14,1
HCC1937,Basal,TNA,TenPx18,HCC1937_BREAST_TenPx18,1
HCC70,Basal,TNA,TenPx13,HCC70_BREAST_TenPx13,1
MDAMB468,Basal,TNA,TenPx01,MDAMB468_BREAST_TenPx01,1
BT549,Basal,TNB,TenPx07,BT549_BREAST_TenPx07,1
CAL120,Basal,TNB,TenPx02+TenPx28,CAL120_BREAST_TenPx02;CAL120_BREAST_TenPx28,2
CAL51,Basal,TNB,TenPx01,CAL51_BREAST_TenPx01,1
CAL851,Basal,TNB,TenPx07,CAL851_BREAST_TenPx07,1
HCC38,Basal,TNB,TenPx11,HCC38_BREAST_TenPx11,1
HDQP1,Basal,TNB,TenPx41,HDQP1_BREAST_TenPx41,1
MDAMB157,Basal,TNB,TenPx07,MDAMB157_BREAST_TenPx07,1
MDAMB231,Basal,TNB,TenPx27,MDAMB231_BREAST_TenPx27,1
MDAMB436,Basal,TNB,TenPx12,MDAMB436_BREAST_TenPx12,1
CAMA1,Luminal,LA,TenPx04,CAMA1_BREAST_TenPx04,1
EFM19,Luminal,LA,TenPx22,EFM19_BREAST_TenPx22,1
HCC1500,Luminal,LA,TenPx12,HCC1500_BREAST_TenPx12,1
KPL1,Luminal,LA,TenPx03,KPL1_BREAST_TenPx03,1
MCF7,Luminal,LA,TenPx08,MCF7_BREAST_TenPx08,1
T47D,Luminal,LA,TenPx09,T47D_BREAST_TenPx09,1
ZR751,Luminal,LA,TenPx10,ZR751_BREAST_TenPx10,1
EFM192A,Luminal,LB,TenPx37,EFM192A_BREAST_TenPx37,1
